timestamp, low_ask, low_bid, high_ask, high_bid
2019-06-30T21:00:00,2964.36,2964.96,2972.99,2973.59
2019-06-30T23:00:00,2958.74,2959.34,2967.99,2968.59
2019-07-01T01:00:00,2959.99,2960.59,2965.49,2966.09
2019-07-01T03:00:00,2963.74,2964.34,2967.49,2968.09
2019-07-01T05:00:00,2966.49,2967.09,2974.49,2975.09
2019-07-01T07:00:00,2970.99,2971.59,2975.99,2976.59
2019-07-01T09:00:00,2969.49,2970.09,2974.99,2975.59
2019-07-01T11:00:00,2970.99,2971.59,2975.49,2976.09
2019-07-01T13:00:00,2963.13,2963.53,2977.34,2977.74
2019-07-01T15:00:00,2954.63,2955.03,2967.63,2968.03
2019-07-01T17:00:00,2951.64,2952.04,2958.39,2958.79
2019-07-01T19:00:00,2951.89,2952.29,2966.11,2966.51
2019-07-01T21:00:00,2955.89,2956.49,2964.89,2965.49
2019-07-01T23:00:00,2958.14,2958.74,2964.14,2964.74
2019-07-02T01:00:00,2962.64,2963.24,2966.64,2967.24
2019-07-02T03:00:00,2964.14,2964.74,2967.64,2968.24
2019-07-02T05:00:00,2964.14,2964.74,2967.89,2968.49
2019-07-02T07:00:00,2957.39,2957.99,2967.64,2968.24
2019-07-02T09:00:00,2958.14,2958.74,2962.89,2963.49
2019-07-02T11:00:00,2959.14,2959.74,2963.14,2963.74
2019-07-02T13:00:00,2959.24,2959.64,2969.24,2969.64
2019-07-02T15:00:00,2954.74,2955.14,2967.49,2967.89
2019-07-02T17:00:00,2956.99,2957.39,2966.49,2966.89
2019-07-02T19:00:00,2962.49,2962.89,2975.29,2976.3
2019-07-02T21:00:00,2971.92,2972.52,2975.04,2975.72
2019-07-02T23:00:00,2971.42,2972.02,2974.17,2974.77
2019-07-03T01:00:00,2969.17,2969.77,2972.17,2972.77
2019-07-03T03:00:00,2969.42,2970.02,2971.67,2972.27
2019-07-03T05:00:00,2970.67,2971.27,2973.67,2974.27
2019-07-03T07:00:00,2972.17,2972.77,2981.67,2982.27
2019-07-03T09:00:00,2981.29,2981.89,2983.42,2984.02
2019-07-03T11:00:00,2979.42,2980.02,2982.92,2983.52
2019-07-03T13:00:00,2977.02,2977.42,2988.0,2988.4
2019-07-03T15:00:00,2984.38,2984.78,2995.65,2996.05
2019-07-03T17:00:00,2994.15,2994.55,2997.15,2997.55
2019-07-03T19:00:00,2995.54,2997.04,2997.16,2998.66
2019-07-03T21:00:00,2995.85,2996.9,2999.92,3000.52
2019-07-03T23:00:00,2994.8,2995.4,2996.8,2997.4
2019-07-04T01:00:00,2993.8,2994.4,2996.05,2996.65
2019-07-04T03:00:00,2993.8,2994.4,2995.8,2996.4
2019-07-04T05:00:00,2993.3,2993.9,2996.17,2996.77
2019-07-04T07:00:00,2993.55,2994.15,2996.05,2996.65
2019-07-04T09:00:00,2994.55,2995.15,2996.17,2996.77
2019-07-04T11:00:00,2995.55,2996.15,2999.05,2999.65
2019-07-04T13:00:00,2997.4,2997.8,2999.65,3000.05
2019-07-04T15:00:00,2997.9,2998.3,2999.4,2999.8
2019-07-04T17:00:00,2998.08,2999.58,2998.89,3000.39
2019-07-04T19:00:00,2998.48,2999.98,2998.92,3000.42
2019-07-04T21:00:00,2997.85,2998.45,2998.98,2999.58
2019-07-04T23:00:00,2996.48,2997.08,2998.73,2999.33
2019-07-05T01:00:00,2995.98,2996.58,2999.1,2999.7
2019-07-05T03:00:00,2998.23,2998.83,2999.48,3000.08
2019-07-05T05:00:00,2996.98,2997.58,2999.73,3000.33
2019-07-05T07:00:00,2989.48,2990.08,2997.48,2998.08
2019-07-05T09:00:00,2988.98,2989.58,2991.73,2992.33
2019-07-05T11:00:00,2979.73,2980.33,2992.73,2993.33
2019-07-05T13:00:00,2967.08,2967.48,2983.23,2983.83
2019-07-05T15:00:00,2970.58,2970.98,2985.92,2986.32
2019-07-05T17:00:00,2982.67,2983.07,2993.92,2994.32
2019-07-05T19:00:00,2984.73,2985.13,2993.92,2994.32
2019-07-05T21:00:00,2987.58,2989.08,2987.58,2989.08
2019-07-07T21:00:00,2987.83,2988.43,2990.58,2991.18
2019-07-07T23:00:00,2982.58,2983.18,2988.83,2989.43
2019-07-08T01:00:00,2980.33,2980.93,2985.58,2986.18
2019-07-08T03:00:00,2979.08,2979.68,2983.08,2983.68
2019-07-08T05:00:00,2974.83,2975.43,2980.08,2980.68
2019-07-08T07:00:00,2978.58,2979.18,2984.95,2985.55
2019-07-08T09:00:00,2978.58,2979.18,2982.7,2983.3
2019-07-08T11:00:00,2978.08,2978.68,2982.33,2982.93
2019-07-08T13:00:00,2971.93,2972.33,2980.84,2981.24
